07:12:17 | INFO    | __main__ | wandb logging enabled (project=HardRouteBA, run=hr_topk2_cos40_clamp).
07:12:18 | INFO    | __main__ | Starting training for 200 epochs...
07:12:18 | INFO    | __main__ | Config: model=hard_route K=512 bs=1024 lr=8.0e-03 temp=0.070 grad_clip=1.0 ortho=0.000 lb=0.000
10:55:21 | INFO    | __main__ | Epoch  85/200 | loss=1.3399 | lr=1.00e-06 | 128.8s | R@1=19.4/21.9 R@5=39.6/42.1 mR=37.4
10:58:12 | INFO    | __main__ | Epoch  86/200 | loss=1.3389 | lr=1.00e-06 | 146.5s | R@1=19.4/21.9 R@5=39.6/42.0 mR=37.4
11:00:52 | INFO    | __main__ | Epoch  87/200 | loss=1.3394 | lr=1.00e-06 | 135.8s | R@1=19.4/21.9 R@5=39.6/42.0 mR=37.4
11:03:38 | INFO    | __main__ | Epoch  88/200 | loss=1.3389 | lr=1.00e-06 | 141.3s | R@1=19.3/21.9 R@5=39.6/42.0 mR=37.4
11:06:31 | INFO    | __main__ | Epoch  89/200 | loss=1.3390 | lr=1.00e-06 | 147.8s | R@1=19.4/21.9 R@5=39.6/42.1 mR=37.4
11:09:28 | INFO    | __main__ | Epoch  90/200 | loss=1.3376 | lr=1.00e-06 | 152.9s | R@1=19.3/21.9 R@5=39.5/42.0 mR=37.3
11:12:11 | INFO    | __main__ | Epoch  91/200 | loss=1.3371 | lr=1.00e-06 | 139.5s | R@1=19.4/21.9 R@5=39.5/41.9 mR=37.3
11:14:41 | INFO    | __main__ | Epoch  92/200 | loss=1.3341 | lr=1.00e-06 | 125.8s | R@1=19.4/21.8 R@5=39.6/41.9 mR=37.4
11:17:50 | INFO    | __main__ | Epoch  93/200 | loss=1.3344 | lr=1.00e-06 | 165.0s | R@1=19.4/21.8 R@5=39.5/42.0 mR=37.3
11:21:37 | INFO    | __main__ | Epoch  94/200 | loss=1.3332 | lr=1.00e-06 | 201.9s | R@1=19.4/21.8 R@5=39.6/41.9 mR=37.4
11:24:26 | INFO    | __main__ | Epoch  95/200 | loss=1.3341 | lr=1.00e-06 | 144.3s | R@1=19.3/21.7 R@5=39.6/42.0 mR=37.3
11:27:32 | INFO    | __main__ | Epoch  96/200 | loss=1.3324 | lr=1.00e-06 | 160.0s | R@1=19.4/21.8 R@5=39.5/42.0 mR=37.3
11:30:11 | INFO    | __main__ | Epoch  97/200 | loss=1.3319 | lr=1.00e-06 | 135.0s | R@1=19.4/21.8 R@5=39.5/42.0 mR=37.3
11:32:59 | INFO    | __main__ | Epoch  98/200 | loss=1.3303 | lr=1.00e-06 | 142.9s | R@1=19.5/21.8 R@5=39.6/41.9 mR=37.3
11:35:37 | INFO    | __main__ | Epoch  99/200 | loss=1.3307 | lr=1.00e-06 | 133.3s | R@1=19.4/21.8 R@5=39.6/41.9 mR=37.3
11:35:37 | INFO    | __main__ | Early stopping at epoch 99 (no improvement for 40 epochs, best=37.45 at epoch 59)
